BillID,KnessetNum,Name,PublicationDate,MagazineNumber,PageNumber,budget_publication
417476,13,"חוק התקציב לשנת הכספים 1995, התשנ""ה-1994",1995-03-26 00:00:00,122,11,1
417274,13,"חוק התקציב לשנת הכספים 1996, התשנ""ו-1995",1996-03-29 00:00:00,124,3,1
162275,14,"חוק התקציב לשנת הכספים 1997, התשנ""ז-1996",1997-03-27 00:00:00,125,3,1
418026,14,"חוק התקציב לשנת הכספים 1998, התשנ""ח-1998",1997-03-19 00:00:00,126,3,1
166600,15,חוק תקציב המדינה לשנת הכספים 2000,2000-01-10 00:00:00,129,3,1
147941,1,"חוק המעבר, התש""ט-1949",1949-02-17 00:00:00,1,1,
553192,1,"חוק האשראי האמריקאי, התש""ט-1949",1949-03-18 00:00:00,2,3,
148874,1,"חוק התקציב (אפריל 1949), התש""ט-1949",1949-04-05 00:00:00,3,5,
147689,1,"חוק לתיקון פקודת המילווה העממי, התש""ט-1949",1949-04-05 00:00:00,3,6,
149251,1,"חוק להארכת תוקף של תקנות שעת חרום, התש""ט-1949",1949-04-07 00:00:00,4,7,
147943,1,"חוק המעבר (הוראת שעה), התש""ט-1949",1949-04-04 00:00:00,4,8,
148269,1,"חוק לתיקון פקודת עובדי ממשלת ארץ-ישראל, התש""ט-1949",1949-04-07 00:00:00,4,8,
147690,1,"חוק לתיקון פקודת המילווה העממי (מס' 2), התש""ט-1949",1949-04-13 00:00:00,5,9,
147436,1,"חוק יום העצמאות, התש""ט-1949",1949-04-13 00:00:00,5,10,
314532,1,"חוק עובדי ממשלת ארץ-ישראל, התש""ט-1949",1949-04-13 00:00:00,5,10,
147380,1,"חוק החיילים המשוחררים (החזרה לעבודה), התש""ט-1949",1949-04-26 00:00:00,6,13,
314534,1,"חוק מס הכנסה ומס רווחי חברות (הוראת שעה), התש""ט-1949",1949-05-08 00:00:00,7,29,
148872,1,"חוק התקציב (אפריל-יוני 1949), התש""ט-1949",1949-05-08 00:00:00,7,30,
147519,1,"חוק מבקר המדינה, התש""ט-1949",1949-05-24 00:00:00,8,33,
147221,1,"חוק הדגל והסמל, התש""ט-1949",1949-05-24 00:00:00,8,37,
147942,1,"חוק לתיקון פקודת המעבר לאסיפה המכוננת, התש""ט-1949",1949-05-27 00:00:00,9,39,
150280,1,"חוק להארכת תוקף של תקנות שעת חירום (סמכויות עריית תל-אביב ביפו), התש""ט-1949",1949-05-27 00:00:00,9,40,
5,1,"חוק שכר חברי הכנסת, התש""ט-1949",1949-06-07 00:00:00,10,41,
148524,1,"חוק לתיקון פקודת הרשויות המקומיות (מס עסקים), התש""ט-1949",1949-06-07 00:00:00,10,43,
149022,1,"חוק להארכת תוקף של תקנות שעת חירום (בתי חולים), התש""ט-1949",1949-06-07 00:00:00,10,43,
149130,1,"חוק להארכת תוקף של תקנות שעת חרום (עבירות תנועה - דין חיילים), התש""ט-1949",1949-06-09 00:00:00,11,45,
148576,1,"חוק שטרי מקרקעים, התש""ט-1949",1949-06-19 00:00:00,12,51,
148575,1,"חוק שטרי בנק, התש""ט-1949",1949-06-19 00:00:00,12,53,
150169,1,"חוק להארכת תוקף של תקנות שעת חירום (תיקון נזקי מלחמה בבתים),התש""ט-1949",1949-06-19 00:00:00,12,54,
149055,1,"חוק להארכת תוקף של תקנות שעת חירום (חוקת השיפוט תש""ח), התש""ט-1949",1949-06-19 00:00:00,12,55,
