BillID,KnessetNum,Name,PublicationDate,MagazineNumber,PageNumber,budget_publication,num_pages,num_pages_comment
148813,6,"חוק התקציב לשנת 1967/68 (תיקון), התשכ""ז-1967",1967-07-19 00:00:00,43,294,1,2,
148811,6,"חוק התקציב (מס' 2) לשנת 1967/68, התשכ""ז-1967",1967-07-19 00:00:00,44,296,1,2,
148810,6,"חוק התקציב (מס' 3) לשנת 1967/8, התשכ""ז-1967",1967-10-04 00:00:00,45,298,1,1,"page number restarted, might be more pages"
148807,6,"חוק התקציב לשנת 1968/69, התשכ""ח 1968",1968-05-23 00:00:00,46,3,1,311,
148809,6,"חוק התקציב (מס' 2) לשנת 1968/69, התשכ""ח-1968",1968-07-16 00:00:00,47,314,1,20,
148808,6,"חוק התקציב (מס' 3) לשנת 1968/69, התשכ""ח-1968",1968-08-08 00:00:00,48,334,1,1,"page number restarted, might be more pages"
148804,6,"חוק התקציב לשנת 1969/70, התשכ""ט-1969",1969-05-21 00:00:00,49,3,1,307,
148806,7,"חוק התקציב (מס' 2), לשנת 1969/70, התש""ל-1969",1969-12-24 00:00:00,50,310,1,2,
148805,7,"חוק התקציב (מס' 3) 1969/70, התש""ל-1970",1970-03-30 00:00:00,51,312,1,2,
148802,7,"חוק תקציב הביניים לשנת 1970/71, התש""ל 1970",1970-03-30 00:00:00,51,314,1,1,"page number restarted, might be more pages"
148801,7,"חוק התקציב לשנת 1970/71, התש""ל-1970",1970-06-01 00:00:00,52,3,1,301,
148800,7,"חוק התקציב (מס' 2) 1970/71, התש""ל-1970",1970-09-10 00:00:00,53,304,1,6,
148803,7,"חוק התקציב (מס' 3) לשנת 1970/71, התש""ל-1970",1970-09-10 00:00:00,53,310,1,1,"page number restarted, might be more pages"
148799,7,"חוק התקציב לשנת 1971/72, התשל""א-1971",1971-05-16 00:00:00,54,3,1,1,"missing magazine, might be more pages"
148797,7,"חוק התקציב (מס' 2) לשנת 1971/72, התשל""ב-1972",1972-03-21 00:00:00,56,328,1,1,"page number restarted, might be more pages"
